SE4HsMi3KoU_116,40,0.268,0.054,0.642,0.977,12,1
SE4HsMi3KoU_116,40,0.268,0.054,0.642,0.977,17,1
SE4HsMi3KoU_116,40,0.268,0.054,0.642,0.977,79,1
SE4HsMi3KoU_116,40,0.268,0.054,0.642,0.977,36,1
SE4HsMi3KoU_032,52,0.286,0.102,0.724,0.988,12,1
SE4HsMi3KoU_032,52,0.286,0.102,0.724,0.988,17,1
SE4HsMi3KoU_032,52,0.286,0.102,0.724,0.988,79,1
SE4HsMi3KoU_453,52,0.228,0.002,0.808,0.944,12,1
SE4HsMi3KoU_453,52,0.228,0.002,0.808,0.944,17,1
SE4HsMi3KoU_325,52,0.337,0.06,0.669,0.983,12,1
SE4HsMi3KoU_325,52,0.337,0.06,0.669,0.983,17,1
SE4HsMi3KoU_325,52,0.337,0.06,0.669,0.983,29,1
SE4HsMi3KoU_035,52,0.294,0.104,0.715,0.988,12,1
SE4HsMi3KoU_035,52,0.294,0.104,0.715,0.988,17,1
SE4HsMi3KoU_035,52,0.294,0.104,0.715,0.988,79,1
SE4HsMi3KoU_454,52,0.198,0.004,0.774,0.723,12,1
SE4HsMi3KoU_454,52,0.198,0.004,0.774,0.723,17,1
SE4HsMi3KoU_454,52,0.198,0.004,0.774,0.723,79,1
SE4HsMi3KoU_049,52,0.281,0.127,0.684,0.988,12,1
SE4HsMi3KoU_049,52,0.281,0.127,0.684,0.988,17,1
SE4HsMi3KoU_049,52,0.281,0.127,0.684,0.988,79,1
SE4HsMi3KoU_098,52,0.307,0.15,0.683,0.992,17,1
SE4HsMi3KoU_098,52,0.307,0.15,0.683,0.992,12,1
SE4HsMi3KoU_111,52,0.227,0.008,0.802,0.988,12,1
SE4HsMi3KoU_111,52,0.227,0.008,0.802,0.988,17,1
SE4HsMi3KoU_111,52,0.227,0.008,0.802,0.988,79,1
SE4HsMi3KoU_163,52,0.251,0.092,0.678,0.99,12,1
SE4HsMi3KoU_163,52,0.251,0.092,0.678,0.99,17,1
SE4HsMi3KoU_163,52,0.251,0.092,0.678,0.99,79,1
SE4HsMi3KoU_047,52,0.239,0.121,0.602,0.99,12,1
SE4HsMi3KoU_047,52,0.239,0.121,0.602,0.99,17,1
SE4HsMi3KoU_047,52,0.239,0.121,0.602,0.99,79,1
SE4HsMi3KoU_426,52,0.311,0.162,0.732,0.99,12,1
SE4HsMi3KoU_426,52,0.311,0.162,0.732,0.99,17,1
SE4HsMi3KoU_426,52,0.311,0.162,0.732,0.99,79,1
SE4HsMi3KoU_381,52,0.149,0.277,0.536,0.96,12,1
SE4HsMi3KoU_381,52,0.149,0.277,0.536,0.96,17,1
SE4HsMi3KoU_381,52,0.149,0.277,0.536,0.96,47,1
SE4HsMi3KoU_350,52,0.323,0.115,0.719,0.99,12,1
SE4HsMi3KoU_350,52,0.323,0.115,0.719,0.99,17,1
SE4HsMi3KoU_350,52,0.323,0.115,0.719,0.99,29,1
SE4HsMi3KoU_350,52,0.323,0.115,0.719,0.99,36,1
SE4HsMi3KoU_096,52,0.313,0.173,0.696,0.988,12,1
SE4HsMi3KoU_096,52,0.313,0.173,0.696,0.988,17,1
SE4HsMi3KoU_421,52,0.331,0.115,0.684,0.99,12,1
SE4HsMi3KoU_421,52,0.331,0.115,0.684,0.99,17,1
SE4HsMi3KoU_421,52,0.331,0.115,0.684,0.99,79,1
SE4HsMi3KoU_091,52,0.316,0.115,0.713,0.988,12,1
SE4HsMi3KoU_091,52,0.316,0.115,0.713,0.988,17,1
SE4HsMi3KoU_091,52,0.316,0.115,0.713,0.988,79,1
SE4HsMi3KoU_118,47,0.235,0.021,0.858,0.979,12,1
SE4HsMi3KoU_118,47,0.235,0.021,0.858,0.979,17,1
SE4HsMi3KoU_118,47,0.235,0.021,0.858,0.979,79,1
SE4HsMi3KoU_273,52,0.169,0.096,0.659,0.981,12,1
SE4HsMi3KoU_273,52,0.169,0.096,0.659,0.981,17,1
SE4HsMi3KoU_273,52,0.169,0.096,0.659,0.981,79,1
SE4HsMi3KoU_362,52,0.268,0.123,0.701,0.99,12,1
SE4HsMi3KoU_362,52,0.268,0.123,0.701,0.99,17,1
SE4HsMi3KoU_362,52,0.268,0.123,0.701,0.99,79,1
SE4HsMi3KoU_414,52,0.297,0.131,0.655,0.988,79,1
SE4HsMi3KoU_414,52,0.297,0.131,0.655,0.988,12,1
SE4HsMi3KoU_414,52,0.297,0.131,0.655,0.988,17,1
